HourUTC,HourDK,PriceArea,SpotPriceDKK,SpotPriceEUR
2022-12-31 23:00,2023-01-01 00:00,DK1,14.950000,2.010000
2023-01-01 00:00,2023-01-01 01:00,DK1,10.260000,1.380000
2023-01-01 01:00,2023-01-01 02:00,DK1,0.670000,0.090000
2023-01-01 02:00,2023-01-01 03:00,DK1,0.590000,0.080000
2023-01-01 03:00,2023-01-01 04:00,DK1,0.370000,0.050000
2023-01-01 04:00,2023-01-01 05:00,DK1,0.000000,0.000000
2023-01-01 05:00,2023-01-01 06:00,DK1,-2.830000,-0.380000
2023-01-01 06:00,2023-01-01 07:00,DK1,0.000000,0.000000
2023-01-01 07:00,2023-01-01 08:00,DK1,0.000000,0.000000
2023-01-01 08:00,2023-01-01 09:00,DK1,0.300000,0.040000
2023-01-01 09:00,2023-01-01 10:00,DK1,5.950000,0.800000
2023-01-01 10:00,2023-01-01 11:00,DK1,0.590000,0.080000
2023-01-01 11:00,2023-01-01 12:00,DK1,0.300000,0.040000
2023-01-01 12:00,2023-01-01 13:00,DK1,0.000000,0.000000
2023-01-01 13:00,2023-01-01 14:00,DK1,6.320000,0.850000
2023-01-01 14:00,2023-01-01 15:00,DK1,174.979996,23.530001
2023-01-01 15:00,2023-01-01 16:00,DK1,271.730011,36.540001
2023-01-01 16:00,2023-01-01 17:00,DK1,342.299988,46.029999
2023-01-01 17:00,2023-01-01 18:00,DK1,413.239990,55.570000
2023-01-01 18:00,2023-01-01 19:00,DK1,408.630005,54.950001
2023-01-01 19:00,2023-01-01 20:00,DK1,366.100006,49.230000
2023-01-01 20:00,2023-01-01 21:00,DK1,334.570007,44.990002
2023-01-01 21:00,2023-01-01 22:00,DK1,341.779999,45.959999
2023-01-01 22:00,2023-01-01 23:00,DK1,260.279999,35.000000
2023-01-01 23:00,2023-01-02 00:00,DK1,430.649994,57.910000
2023-01-02 00:00,2023-01-02 01:00,DK1,384.239990,51.669998
2023-01-02 01:00,2023-01-02 02:00,DK1,393.609985,52.930000
2023-01-02 02:00,2023-01-02 03:00,DK1,328.390015,44.160000
2023-01-02 03:00,2023-01-02 04:00,DK1,372.420013,50.080002
2023-01-02 04:00,2023-01-02 05:00,DK1,573.280029,77.089996
2023-01-02 05:00,2023-01-02 06:00,DK1,781.419983,105.080002
2023-01-02 06:00,2023-01-02 07:00,DK1,1045.859985,140.639999
2023-01-02 07:00,2023-01-02 08:00,DK1,1085.569946,145.979996
2023-01-02 08:00,2023-01-02 09:00,DK1,1093.530029,147.050003
2023-01-02 09:00,2023-01-02 10:00,DK1,1082.819946,145.610001
2023-01-02 10:00,2023-01-02 11:00,DK1,1066.020020,143.350006
2023-01-02 11:00,2023-01-02 12:00,DK1,1073.680054,144.380005
2023-01-02 12:00,2023-01-02 13:00,DK1,1069.069946,143.759995
2023-01-02 13:00,2023-01-02 14:00,DK1,1102.079956,148.199997
2023-01-02 14:00,2023-01-02 15:00,DK1,1155.180054,155.339996
2023-01-02 15:00,2023-01-02 16:00,DK1,1211.319946,162.889999
2023-01-02 16:00,2023-01-02 17:00,DK1,1264.199951,170.000000
2023-01-02 17:00,2023-01-02 18:00,DK1,1299.449951,174.740005
2023-01-02 18:00,2023-01-02 19:00,DK1,1223.000000,164.460007
2023-01-02 19:00,2023-01-02 20:00,DK1,1137.780029,153.000000
2023-01-02 20:00,2023-01-02 21:00,DK1,1053.520020,141.669998
2023-01-02 21:00,2023-01-02 22:00,DK1,1003.250000,134.910004
2023-01-02 22:00,2023-01-02 23:00,DK1,923.760010,124.220001
2023-01-02 23:00,2023-01-03 00:00,DK1,966.869995,130.009995
2023-01-03 00:00,2023-01-03 01:00,DK1,892.429993,120.000000
2023-01-03 01:00,2023-01-03 02:00,DK1,883.210022,118.760002
2023-01-03 02:00,2023-01-03 03:00,DK1,855.250000,115.000000
2023-01-03 03:00,2023-01-03 04:00,DK1,845.059998,113.629997
2023-01-03 04:00,2023-01-03 05:00,DK1,864.690002,116.269997
2023-01-03 05:00,2023-01-03 06:00,DK1,1033.140015,138.919998
2023-01-03 06:00,2023-01-03 07:00,DK1,1189.310059,159.919998
2023-01-03 07:00,2023-01-03 08:00,DK1,1258.099976,169.169998
2023-01-03 08:00,2023-01-03 09:00,DK1,1273.050049,171.179993
2023-01-03 09:00,2023-01-03 10:00,DK1,1253.640015,168.570007
2023-01-03 10:00,2023-01-03 11:00,DK1,1260.479980,169.490005
2023-01-03 11:00,2023-01-03 12:00,DK1,1223.369995,164.500000
2023-01-03 12:00,2023-01-03 13:00,DK1,1196.670044,160.910004
2023-01-03 13:00,2023-01-03 14:00,DK1,1212.660034,163.059998
2023-01-03 14:00,2023-01-03 15:00,DK1,1247.390015,167.729996
2023-01-03 15:00,2023-01-03 16:00,DK1,1239.069946,166.610001
2023-01-03 16:00,2023-01-03 17:00,DK1,1269.630005,170.720001
2023-01-03 17:00,2023-01-03 18:00,DK1,1256.319946,168.929993
2023-01-03 18:00,2023-01-03 19:00,DK1,1197.270020,160.990005
2023-01-03 19:00,2023-01-03 20:00,DK1,1112.709961,149.619995
2023-01-03 20:00,2023-01-03 21:00,DK1,974.159973,130.990005
2023-01-03 21:00,2023-01-03 22:00,DK1,849.820007,114.269997
2023-01-03 22:00,2023-01-03 23:00,DK1,696.539978,93.660004
2023-01-03 23:00,2023-01-04 00:00,DK1,601.559998,80.889999
