Hour,One-price Bids [MW],Two-price Bids [MW]
0,0.0,34.42906545001212
1,0.0,17.36305380657538
2,0.0,25.51610530337453
3,0.0,27.733224075695915
4,0.0,52.01241337134098
5,0.0,48.027291959816665
6,200.0,110.6309510487145
7,0.0,44.48535175389932
8,200.0,82.46929119687238
9,200.0,91.6527153381796
10,0.0,30.653898365599673
11,0.0,30.64043186461157
12,0.0,30.525950160542223
13,0.0,3.5692630006645345
14,200.0,84.24788066231157
15,0.0,8.051396545231029
16,200.0,93.04412101203087
17,0.0,39.73477961348942
18,0.0,63.5270118654953
19,0.0,60.843651106392144
20,0.0,27.981161559406985
21,0.0,23.36265874173847
22,200.0,103.09546982001237
23,0.0,35.22905304992324
